G18;SMSH-M FD110XCSDFM R;4
K58;SPIN CW NR;4
Y75;SPIN DAYTONA;4
H40;SPIN ONE TONE;4
H60;SPIN ONE TONE;4
I33;SPIN ONE TONE CW;4
H41;SPIN TWO TONE;4
H61;SPIN TWO TONE;4
I08;SPIN TWO TONE CW;4
]47;4 NEX 110;4
028;THUNDER;4
868;THUNDER 125;4
889;THUNDER 125 CC;4
G06;THUNDER 125 ES;4
G05;THUNDER 125 KS;4
124;THUNDER EN 125;4
913;THUNDER EN 125;4
334;THUNDER GSX;4
335;THUNDER GSX 250;4
0GR;TITAN BLACK FIRE;4
U12;TITAN BRAKE-DB;4
U13;TITAN CW-RACING;4
U11;TITAN TROMOL-DRUM;4
444;TORNADO;4
014;TORNADO  CDS;4
013;TORNADO CSDS;4
442;TORNADO GS;4
443;TORNADO GX;4
522;TRAIL;4
029;TRS;4
139;TS 125 ER;4
304;TS 125 TRAIL;4
0X5;V-STROM 650;4
1MV;AEROX 125 LC;2
1FC;ALL NEW BYSON F1;2
146;ALL NEW SOUL GT 125;2
008;ALPHA II R;2
V62;BYSON;2
0JQ;BYSON CUSTOM;2
012;CHAMP;2
127;CRYPTON;2
461;CRYPTON  R;2
278;CRYPTON SE;2
284;F1Z H-CW;2
275;F1Z HE;2
285;F1Z H-HE;2
286;F1Z H-RE;2
287;F1Z R HE-LE;2
280;F1Z R-CW;2
641;F1Z R-DT;2
276;F1Z RE;2
283;F1Z RH;2
277;F1Z R-HE;2
279;F1Z R-RE;2
282;F1Z R-RR;2
281;F1Z R-SE;2
703;F1Z SE;2
519;F1Z-R HE-SE;2
517;F1Z-R SPORTY;2
0JM;FINO CLASIC CUSTOM;2
01X;FINO CLASSIC;2
0S0;FINO CLASSIC FI;2
01W;FINO FASHION;2
0JL;FINO FASHION CUSTOM;2
0R0;FINO FI PREMIUM;2
0R1;FINO FI SPORTY;2
1MU;FINO PREM 125 BLU CR;2
0UP;FINO PREMIUM FI SE;2
01V;FINO SPORTY;2
0JK;FINO SPORTY CUSTOM;2
0UO;FINO SPORTY FI SE;2
1MT;FINO SPRT 125 BLU CR;2
010;FORCE 1 Z;2
011;FORCE 1 Z R;2
0L8;FORCE ELEGAN;2
007;FORCE ONE;2
516;FORCE SE;2
0L7;FORCE SPORTY;2
288;FZ 125;2
510;GLIDE RX-10;2
1F1;GRAND FILANO;2
0QD;GT 125;2
0X3;GT 125 GARUDA;2
0L9;JUP Z CW FI MT GP LV;2
117;JUPITER;2
E63;JUPITER MX;2
14B;JUPITER MX 150;2
0JP;JUPITER MX AT CUSTOM;2
F66;JUPITER MX CW;2
V04;JUPITER MX CW AT;2
Q70;JUPITER MX CW AT CUS;2
0JO;JUPITER MX CW CUSTOM;2
Q69;JUPITER MX CW CUSTOM;2
14A;JUPITER MX KING 150;2
F67;JUPITER MX SE;2
F48;JUPITER MX-CWH;2
F49;JUPITER MX-CWH SE;2
624;JUPITER Z;2
118;JUPITER Z CW;2
B02;JUPITER Z CW;2
E13;JUPITER Z CW;2
09C;JUPITER Z CW FI;2
0JV;JUPITER Z CW FI CSTM;2
V29;JUPITER Z CW SE;2
09B;JUPITER Z FI;2
E19;JUPITER Z MX;2
R80;JUPITER Z X15 CW;2
R79;JUPITER Z X15 SPOKE;2
0BI;JUPITER Z1;2
0BK;JUPITER Z1 CW;2
V71;JUPITER Z15 CW SE;2
V65;JUPITER ZE CW SE;2
V46;JUPITER ZX 15 CW SE;2
U81;JUPITER ZX CUSTOM;2
V64;JUPITER ZX SE;2
F26;JUPITERMX-ACCESORIES;2
K20;JUPITERMXCW ACLUTCH;2
0LA;JUP-MX CW MT GP LV;2
Y05;LEXAM;2
621;MAJESTY;2
744;MIO;2
H91;MIO;2
M54;MIO AERO;2
R11;MIO CARGLOSS;2
B03;MIO CW;2
E64;MIO CW;2
H92;MIO CW;2
